Wall time,Step,Value
1747323297.11779,25,4.014599800109863
1747323311.9100049,50,3.236799955368042
1747323326.7127833,75,2.5678999423980713
1747323341.51144,100,1.9888999462127686
1747323356.3114789,125,1.5807000398635864
1747323371.1047258,150,1.3919999599456787
1747323385.8956578,175,1.2944999933242798
1747323400.6864805,200,1.2426999807357788
1747323415.4801993,225,1.1775000095367432
1747323430.2430732,250,1.142699956893921
1747323445.0015376,275,1.138200044631958
1747323459.763019,300,1.1267999410629272
1747323492.4831042,325,1.1114000082015991
1747323507.28032,350,1.0914000272750854
1747323522.0645502,375,1.0621999502182007
1747323536.8481925,400,1.0499999523162842
1747323551.6218386,425,1.0465999841690063
1747323566.4055893,450,1.06850004196167
1747323581.1883457,475,0.982699990272522
1747323595.9757502,500,1.038100004196167
1747323610.7636435,525,1.0087000131607056
1747323625.5443146,550,1.0139000415802002
1747323640.331635,575,1.055799961090088
1747323655.1065264,600,1.0211999416351318
1747323669.8886433,625,1.0063999891281128
1747323704.7734458,650,1.017699956893921
1747323719.5620253,675,0.9805999994277954
1747323734.356182,700,0.9749000072479248
1747323749.1558979,725,1.0216000080108643
1747323763.9560394,750,0.9728000164031982
1747323778.748382,775,1.0302000045776367
1747323793.5311792,800,1.0027999877929688
1747323808.3230054,825,1.028499960899353
1747323823.1077847,850,0.964900016784668
1747323837.8865674,875,0.9922000169754028
1747323852.6753545,900,0.9702000021934509
1747323867.457489,925,0.948199987411499
1747323904.337217,950,0.9725000262260437
1747323919.141372,975,1.0169999599456787
1747323933.9340065,1000,0.9994000196456909
1747323948.731336,1025,0.9908000230789185
1747323963.5233357,1050,0.9111999869346619
1747323978.3111558,1075,0.9850999712944031
1747323993.0937114,1100,0.9501000046730042
1747324007.8783636,1125,1.0003999471664429
1747324022.673517,1150,0.9735000133514404
1747324037.4569395,1175,0.9435999989509583
1747324052.234045,1200,0.9359999895095825
1747324067.0132594,1225,0.9469000101089478
1747324081.7967744,1250,0.9376999735832214
1747324120.664786,1275,0.9645000100135803
1747324135.4567711,1300,0.9702000021934509
1747324150.2475777,1325,0.9217000007629395
1747324165.0434783,1350,0.974399983882904
1747324179.837661,1375,0.9404000043869019
1747324194.6299276,1400,0.9670000076293945
1747324209.4233415,1425,0.9797999858856201
1747324224.2084358,1450,0.9406999945640564
1747324238.9973497,1475,0.9128999710083008
1747324253.7831912,1500,0.9731000065803528
1747324268.576081,1525,0.9832000136375427
1747324283.3603616,1550,0.925000011920929
1747324319.5383139,1575,0.9233999848365784
1747324334.324511,1600,0.9424999952316284
1747324349.1113644,1625,0.9412999749183655
1747324363.9045844,1650,0.9606999754905701
1747324378.6916978,1675,0.9398999810218811
1747324393.478612,1700,0.9456999897956848
1747324408.2679427,1725,0.9591000080108643
1747324423.0603395,1750,0.958299994468689
1747324437.8476915,1775,0.9470999836921692
1747324452.6623344,1800,0.9689000248908997
1747324467.4670992,1825,0.9431999921798706
1747324482.277946,1850,0.9333999752998352
1747324497.0880332,1875,0.942300021648407
1747324537.0907836,1900,0.9448000192642212
1747324551.8870869,1925,0.9574000239372253
1747324566.6808248,1950,0.9897000193595886
1747324581.4587212,1975,0.9377999901771545
1747324596.24366,2000,0.9108999967575073
1747324611.0351763,2025,0.9502000212669373
1747324625.8257666,2050,0.9391999840736389
1747324640.607627,2075,0.9559999704360962
1747324655.391155,2100,0.9700999855995178
1747324670.1773183,2125,0.9258999824523926
1747324684.9597924,2150,0.8809000253677368
1747324699.7450588,2175,0.9372000098228455
